CustID,Premium,Model_Year,Owner_Type,Road side addon,No Claim bonus discount,Electric add on rate,Company,Car Type,RTO,CNGkit,Paymentmode,Total IDV,Seats,Acquisition Channel
10000,"33,249",2011,1,1,"1,523",384,Hyundai,Sedan,Pen,0,Digital Wallet,"714,966",8,Direct
10001,"28,102",2013,2,0,"1,452",411,Hyundai,Sedan,Navi Mumbai,1,Digital Wallet,"718,209",6,Direct
10002,"30,271",2008,1,0,"1,367",317,Hyundai,Sedan,Thane,1,Digital Wallet,"640,333",5,In Direct
10003,"26,247",2014,2,0,"1,249",496,Honda,Sedan,Mumbai,1,Net Banking,"617,561",7,In Direct
10004,"29,665",2005,1,0,"1,310",447,Hyundai,Sedan,Thane,1,Credit Card,"706,606",7,In Direct
10005,"27,637",2009,1,0,"1,467",558,Honda,HatchBack,Navi Mumbai,1,Credit Card,"671,020",7,In Direct
10006,"30,070",2005,2,0,"1,228",556,Mahindra,Sedan,Pen,0,Net Banking,"659,122",6,In Direct
10007,"29,859",2013,2,1,"1,442",476,Hyundai,HatchBack,Navi Mumbai,0,Net Banking,"703,277",6,In Direct
10008,"34,008",2015,2,1,"1,330",364,Maruti,HatchBack,Navi Mumbai,0,UPI,"649,902",6,In Direct
10009,"29,810",2002,1,0,"1,344",544,Mahindra,Sedan,Navi Mumbai,1,Net Banking,"737,568",5,Direct
10010,"29,049",2012,2,1,"1,466",411,Hyundai,Sedan,Navi Mumbai,1,Net Banking,"768,998",8,In Direct
10011,"29,843",2009,2,0,"1,549",404,Maruti,Sedan,Navi Mumbai,1,Digital Wallet,"675,050",5,In Direct
10012,"31,046",2011,1,0,"1,451",568,null,Sedan,Navi Mumbai,0,Net Banking,"804,215",7,In Direct
10013,"28,058",2002,1,1,"1,414",533,Hyundai,Sedan,Thane,0,Net Banking,"811,451",8,In Direct
10014,"25,378",2008,1,0,"1,423",575,Hyundai,Sedan,Thane,1,Net Banking,"631,424",5,In Direct
10015,"34,697",2015,2,0,"1,241",315,Maruti,HatchBack,Thane,0,Net Banking,"665,525",6,In Direct
10016,"34,512",2003,2,1,"1,249",378,Mahindra,Sedan,Navi Mumbai,0,Net Banking,"730,863",7,In Direct
10017,"32,137",2005,2,0,"1,237",349,Hyundai,HatchBack,Navi Mumbai,1,Digital Wallet,"717,755",5,Direct
10018,"25,977",2009,2,1,"1,424",322,Hyundai,Sedan,Pen,1,Net Banking,"695,083",7,Direct
10019,"33,586",2013,1,0,"1,565",407,Maruti,HatchBack,Navi Mumbai,0,Net Banking,"801,612",6,In Direct
10020,"31,872",2003,1,1,"1,477",469,Honda,HatchBack,Pen,1,UPI,"579,927",8,Direct
10021,"30,838",2018,1,1,"1,466",409,Honda,HatchBack,Navi Mumbai,1,Digital Wallet,"693,287",6,In Direct
10022,"29,471",2000,1,0,"1,224",466,Honda,Sedan,Pen,1,Net Banking,"697,330",8,In Direct
10023,"31,041",2015,1,1,"1,320",363,Maruti,Sedan,Mumbai,0,Digital Wallet,"837,678",5,Direct
10024,"25,326",2008,2,0,"1,410",490,Honda,HatchBack,Mumbai,1,UPI,"557,742",7,In Direct
10025,"27,078",2006,1,1,"1,549",586,Hyundai,HatchBack,Mumbai,0,Credit Card,"715,358",5,Direct
10026,"28,283",2007,1,1,"1,364",371,Hyundai,Sedan,Pen,0,Net Banking,"825,342",7,In Direct
10027,"27,570",2014,1,1,"1,321",428,Honda,Sedan,Mumbai,1,Digital Wallet,"711,178",8,In Direct
10028,"26,114",2009,1,0,"1,490",398,Mahindra,Sedan,Pen,0,Net Banking,"655,094",5,In Direct
10029,"26,778",2006,1,0,"1,456",540,Maruti,HatchBack,Mumbai,0,Digital Wallet,"636,231",6,In Direct
10030,"27,549",2000,2,1,"1,584",502,Mahindra,HatchBack,Mumbai,1,Net Banking,"801,669",6,Direct
10031,"33,122",2012,1,1,"1,528",464,Honda,Sedan,Thane,0,Net Banking,"711,951",6,Direct
10032,"29,278",2000,2,1,"1,239",370,Hyundai,Sedan,Thane,0,Credit Card,"761,166",8,Direct
10033,"34,013",2001,2,0,"1,573",471,Hyundai,Sedan,Navi Mumbai,1,UPI,"823,608",8,Direct
10034,"26,840",2016,1,0,"1,452",505,Honda,Sedan,Thane,0,Credit Card,"576,137",6,In Direct
